"ID","X","Y","City","Date Collected","Nightly Price","Monthly Price","Neighborhood","Room Type","Street","Units","URL","User URL"
"air79609",-90.037031997358,29.965445208487,"New Orleans","2015-08-16T21:59:09.289Z",110,2800,"MarignyBywater","Entire home/apt","Mazant St",1,"http://airbnb.com/rooms/79609","http://airbnb.com/users/show/428909"
"air2432541",-90.034746103613,29.963183003419,"New Orleans","2015-08-16T21:59:09.289Z",170,4760,"MarignyBywater","Entire home/apt","North Rampart Street",1,"http://airbnb.com/rooms/2432541","http://airbnb.com/users/show/4777319"
"air870209",-90.070558807862,29.974714121788,"New Orleans","2015-08-16T21:59:09.289Z",85,2380,"Seventh Ward","Entire home/apt","North Galvez Street",1,"http://airbnb.com/rooms/870209","http://airbnb.com/users/show/1604633"
"air1336428",-90.082071973228,30.017329405028,"New Orleans","2015-08-16T21:59:09.289Z",319,6000,"Filmore","Entire home/apt","Alfred Street",1,"http://airbnb.com/rooms/1336428","http://airbnb.com/users/show/4400787"
"air1040014",-90.078894630489,29.98055963823,"New Orleans","2015-08-16T21:59:09.289Z",150,4200,"Fairgrounds","Entire home/apt","Maurepas Street",1,"http://airbnb.com/rooms/1040014","http://airbnb.com/users/show/5726364"
"air212811",-90.082880792225,29.97529655255,"New Orleans","2015-08-16T21:59:09.289Z",99,2772,"Bayou St John","Entire home/apt","Orchid St",1,"http://airbnb.com/rooms/212811","http://airbnb.com/users/show/1097370"
"air956635",-90.084966880878,29.981284096139,"New Orleans","2015-08-16T21:59:09.289Z",130,1900,"Fairgrounds","Entire home/apt","Verna Street",1,"http://airbnb.com/rooms/956635","http://airbnb.com/users/show/5199957"
"air857111",-90.079872990437,29.923940385159,"New Orleans","2015-08-16T21:59:09.289Z",145,4060,"Irish Channel","Entire home/apt","Washington Avenue",3,"http://airbnb.com/rooms/857111","http://airbnb.com/users/show/564637"
"air919919",-90.103035419626,29.921075809041,"New Orleans","2015-08-16T21:59:09.289Z",150,1500,"Uptown","Entire home/apt","Camp Street",1,"http://airbnb.com/rooms/919919","http://airbnb.com/users/show/4942268"
"air452436",-90.108425387729,29.923655843707,"New Orleans","2015-08-13T03:05:27.732Z",140,3000,"Uptown","Entire home/apt","Dufossat St",3,"http://airbnb.com/rooms/452436",""
"air3265513",-90.109941553183,29.935706053057,"New Orleans","2015-08-16T21:59:09.289Z",160,2100,"Freret","Entire home/apt","Soniat Street",1,"http://airbnb.com/rooms/3265513","http://airbnb.com/users/show/4613282"
"air2539993",-90.095672823708,29.928424314448,"New Orleans","2015-08-16T21:59:09.289Z",130,1500,"","Entire home/apt","Baronne Street",1,"http://airbnb.com/rooms/2539993","http://airbnb.com/users/show/2577149"
